@relation repouso

@attribute Giro_x REAL
@attribute esc_x REAL
@attribute Giro_y REAL
@attribute esc_y REAL
@attribute Giro_z REAL
@attribute esc_z REAL
@attribute Acel_x REAL
@attribute esc_x2 REAL
@attribute Acel_y REAL
@attribute esc_y2 REAL
@attribute Acel_z REAL
@attribute esc_z2 REAL
@attribute Bus_x REAL
@attribute Bus_y REAL
@attribute movimento {repouso, leves, caminhada, monta}

@data
-15056,-0.91650390625,-1120,-0.0771484375,5672,0.3486328125,-1972,-1972,494,3,-1929,-15,-4.36547541189,70.3009098518,caminhada
-15916,-1.00415039062,-1384,-0.07763671875,3696,0.232666015625,905,905,154,1,-2792,-22,-3.94772270212,75.8979463094,caminhada
-16140,-1.00048828125,-1096,-0.0859375,5352,0.296875,-2063,-2063,420,3,-2724,-21,-0.581779193606,72.8643564662,caminhada
-14984,-0.92578125,-312,-0.0390625,3448,0.21484375,1252,1252,-1664,-13,-2469,-19,-4.01292115852,76.8721787713,caminhada
-17804,-1.06713867188,-2604,-0.1943359375,4188,0.27197265625,-814,-814,2181,16,-3777,-29,-10.7197899303,70.244141872,caminhada
-17108,-1.04223632812,-2624,-0.163818359375,4012,0.2421875,491,491,-3486,-27,-2472,-19,-9.31501356603,73.4217857847,caminhada
-16596,-1.03735351562,-1852,-0.124267578125,4488,0.294189453125,-2041,-2041,-2477,-19,-2479,-19,-5.25008528076,73.1558339585,caminhada
-15928,-1.01098632812,-1932,-0.065185546875,3704,0.24560546875,2136,2136,-329,-3,-1566,-12,-4.61839299507,75.3269643695,caminhada
-17092,-1.07299804688,-3076,-0.17724609375,3980,0.275634765625,-1293,-1293,-856,-7,-3034,-24,-8.57847872084,73.0622070517,caminhada
-16416,-1.00366210938,-1108,-0.060302734375,6696,0.4228515625,6080,6080,-2221,-17,-887,-7,-3.23285083414,65.3118074044,caminhada
-14552,-0.87548828125,-128,0.0048828125,1556,0.13916015625,8205,8205,1982,15,-2920,-23,-0.105243244477,80.0872705977,caminhada
-17116,-1.0234375,-1072,-0.07177734375,3504,0.20751953125,3425,3425,-1277,-10,-4332,-34,-3.71099695319,77.2859832871,caminhada
-19164,-1.16918945312,-1844,-0.10009765625,4408,0.27783203125,-958,-958,-101,-1,-3273,-25,-5.43776424782,75.9458689196,caminhada
-20020,-1.20849609375,-812,-0.0478515625,6664,0.3935546875,601,601,786,6,2445,18,-2.31051284172,72.9215026497,caminhada
-18096,-1.09008789062,-3760,-0.220947265625,3248,0.1845703125,-319,-319,582,4,3606,27,-10.6213766972,75.2636396234,caminhada
-15168,-0.913818359375,-1704,-0.0966796875,4588,0.26513671875,1769,1769,2305,17,3581,27,-5.21787874478,73.1957901016,caminhada
-15284,-0.90673828125,-1612,-0.09326171875,1924,0.120361328125,-1594,-1594,738,5,3130,23,-5.89666726885,80.3759326299,caminhada
-12744,-0.77685546875,36,0.023681640625,2520,0.136962890625,-1349,-1349,1444,11,2648,20,2.09771184488,79.5265867209,caminhada
-11736,-0.732177734375,176,-0.002197265625,2488,0.159423828125,-1628,-1628,2433,18,817,6,-4.98987672994,75.615979974,caminhada
-16196,-0.915771484375,-1768,-0.136474609375,9240,0.170654296875,2309,2309,-1804,-14,-3496,-27,-5.24276828466,81.0285814513,caminhada
-13604,-0.84033203125,-44,-0.012451171875,2004,0.130615234375,-1403,-1403,-2256,-18,-1358,-11,-1.66436702621,79.758000808,caminhada
-15528,-0.947265625,204,-0.01708984375,3308,0.17578125,-3806,-3806,410,3,-2312,-18,-2.09329864183,76.1641020903,caminhada
-18068,-1.08911132812,-2036,-0.10888671875,3336,0.189208984375,-1786,-1786,-1135,-9,-4105,-32,-5.8722307496,77.4611889284,caminhada
-19412,-1.21435546875,-2672,-0.1640625,3484,0.185302734375,-2207,-2207,-1892,-15,-5614,-43,-6.11659964671,80.3190920431,caminhada
-14764,-0.93359375,-1552,-0.0966796875,1036,0.05859375,-9984,-9984,76,0,2284,17,-5.95018961965,82.1350904403,caminhada
-17636,-1.07202148438,1792,0.09912109375,2324,0.15380859375,-10274,-10274,-276,-3,3005,22,4.07312966965,83.7171266604,caminhada
-18904,-1.15161132812,-348,-0.027587890625,3344,0.172119140625,-248,-248,-2087,-16,615,4,-1.20735577597,81.0673462668,caminhada
-18836,-1.14501953125,-196,-0.017822265625,5916,0.35498046875,1208,1208,2001,15,1990,15,-1.10547996229,72.386520267,caminhada
-18692,-1.13842773438,-1784,-0.0986328125,2300,0.12548828125,579,579,-1192,-10,-1902,-15,-3.77563219085,83.3568155441,caminhada
-17756,-1.07592773438,-264,-0.02978515625,5344,0.2998046875,-3622,-3622,2984,22,2255,17,-0.0385979922328,75.6329348392,caminhada
-14140,-0.877685546875,152,-0.023681640625,1772,0.059326171875,2174,2174,-1221,-10,2911,22,-8.7592912866,80.9956891083,caminhada
-12496,-0.733154296875,360,0.0166015625,2492,0.1513671875,1314,1314,1205,9,853,6,3.46271383592,76.2748225892,caminhada
-11044,-0.709228515625,-1152,-0.047607421875,10652,0.19091796875,-1151,-1151,-690,-6,-2476,-19,-5.62704757776,73.8860325306,caminhada
-15392,-0.95361328125,-312,-0.024169921875,2924,0.16015625,-1801,-1801,1066,8,-3363,-26,-2.20075168359,81.310566007,caminhada
-14720,-0.921875,-2888,-0.1923828125,4520,0.279296875,-1281,-1281,-2425,-19,-6163,-48,-7.30070657893,71.9348525304,caminhada
-15548,-0.954345703125,-1512,-0.086669921875,3256,0.2236328125,-880,-880,-1302,-10,-6682,-52,-5.03200767171,75.5426675149,caminhada
-16484,-0.995361328125,-1284,-0.108642578125,4184,0.265625,852,852,79,0,-4000,-31,-6.04601686086,72.104047696,caminhada
-17496,-1.07202148438,284,0.00927734375,2292,0.117919921875,20427,20427,566,4,-3134,-24,0.262173172442,84.6768879067,caminhada
-16956,-1.04809570312,-1436,-0.08154296875,5924,0.33837890625,1964,1964,944,7,-7245,-56,-6.36516357886,70.3911401543,caminhada
-21776,-1.34106445312,-1928,-0.1220703125,2664,0.1728515625,1503,1503,-1203,-10,-397,-4,-3.75018293812,79.0033300817,caminhada
-18540,-1.1298828125,-1796,-0.116943359375,5932,0.36865234375,1349,1349,2515,19,2590,19,-5.79070553998,72.3919191217,caminhada
-17360,-1.052734375,-744,-0.03173828125,2380,0.145751953125,-1403,-1403,1186,9,4106,31,-1.63048366822,82.3129508888,caminhada
-12668,-0.76953125,32,0.028076171875,2552,0.154052734375,-1215,-1215,2966,22,4112,31,1.81698504522,77.0988043537,caminhada
-10388,-0.63037109375,-948,-0.049560546875,3484,0.20703125,192,192,-1648,-13,2440,18,-6.98133141731,69.8122460053,caminhada
-14216,-0.858154296875,840,0.0361328125,1192,0.070556640625,5150,5150,-2608,-20,-6169,-48,0.946585892453,87.2185651024,caminhada
-16812,-1.03833007812,-876,-0.066162109375,2772,0.19677734375,-2314,-2314,-6539,-50,-4287,-33,-4.37078391332,78.9184375446,caminhada
-16400,-1.00756835938,336,0.0107421875,2612,0.14404296875,-2931,-2931,-4259,-33,-3947,-31,0.426788151687,82.1752036716,caminhada
-16252,-0.99755859375,-580,-0.013916015625,3812,0.24755859375,-2002,-2002,-2047,-16,-3544,-28,-2.21067103258,77.5950396238,caminhada
-15196,-0.913818359375,-548,-0.060791015625,1620,0.096923828125,-266,-266,49,0,-3049,-24,-5.70035711339,81.2437656066,caminhada
-13928,-0.8447265625,1248,0.084716796875,720,0.031494140625,-690,-690,122,0,1076,8,8.05747164805,81.5052543889,caminhada
-17156,-1.0654296875,-1308,-0.084716796875,4296,0.25439453125,-588,-588,3013,23,4690,35,-4.69552617472,76.5221554912,caminhada
-20140,-1.22509765625,300,-0.012939453125,4556,0.272216796875,-3939,-3939,7140,54,1798,13,-1.11252553933,77.4759671311,caminhada
-20120,-1.24438476562,-2536,-0.142578125,1308,0.0751953125,-12619,-12619,3519,26,4283,32,-4.56377461942,84.5145972351,caminhada
-12780,-0.800048828125,-3056,-0.169921875,-2216,-0.142333984375,-2970,-2970,-2915,-23,4218,32,-10.6628487227,76.5167771615,monta
-10284,-0.638671875,964,0.025390625,3760,0.163330078125,-1948,-1948,-3902,-30,-2169,-17,-1.16952946986,79.6217158361,monta
-14380,-0.88671875,-3480,-0.2275390625,9192,0.551025390625,-72,-72,538,4,-1830,-14,-13.1635309232,54.7421131611,monta
-12736,-0.770751953125,-3808,-0.226806640625,9940,0.58984375,-189,-189,-1133,-9,-277,-3,-12.5665280827,50.7432781771,monta
-11800,-0.75390625,-2564,-0.142822265625,9204,0.56494140625,4536,4536,7089,54,3899,29,-7.5016603764,51.8836349564,monta
